Accession ID	Name	CS Number	Country	Lat
9628	Kolyv-6	CS76980	RUS	51.33
9629	K-oze-1	CS76957	RUS	51.35
9630	K-oze-3	CS76958	RUS	51.34
9632	Lebja-2	CS77016	RUS	51.67
9633	Lebja-4	CS77017	RUS	51.63
9634	Masl-1	CS77073	RUS	54.13
9635	Nosov-1	CS77130	RUS	51.87
9636	Noveg-1	CS77131	RUS	51.75
9637	Noveg-2	CS77132	RUS	51.77
9638	Noveg-3	CS77133	RUS	51.73
9639	Panke-1	CS77162	RUS	53.82
9640	Rakit-1	CS77202	RUS	51.87
9642	Rakit-3	CS77204	RUS	51.84
9643	Sever-1	CS77245	RUS	52.1
9644	Zupan-1	CS78882	CRO	45.07
9645	Gradi-1	CS76887	CRO	45.17
9646	Aiell-1	CS76648	ITA	39.126899
9649	Bivio-1	CS76713	ITA	39.13
9650	Corig-1		ITA	39.6
9651	Filet-1	CS76858	ITA	40.68
9652	Fondi-1		ITA	41.36
9653	Giffo-1	CS76878	ITA	38.44
9654	Liri-1		ITA	41.41
9655	Marce-1	CS77071	ITA	38.92
9657	Melic-1	CS77078	ITA	38.45
9658	Nicas-1	CS77127	ITA	38.97
9659	Pigna-1	CS77177	ITA	41.18
9660	Sarno-1	CS77236	ITA	40.84
9661	Cimin-1	CS76771	ITA	39.58
9662	Stilo-1		ITA	38.47
9663	Teano-1	CS77357	ITA	41.33
9665	Mitterberg-1-180	CS78908	ITA	46.366
9666	Mitterberg-1-182	CS78909	ITA	46.366
9667	Mitterberg-1-183	CS78910	ITA	46.366
9668	Mitterberg-2-184	CS77085	ITA	46.3668
9669	Mitterberg-2-185	CS77086	ITA	46.3668
9671	Mitterberg-3-187	CS77088	ITA	46.3668
9681	Castelfed-1-197	CS76746	ITA	46.3378
9695	Castelfed-4-211	CS78892	ITA	46.3378
9696	Castelfed-4-214	CS78893	ITA	46.3378
9697	Dolen-1	CS76802	BUL	41.62
9698	Goced-1	CS76882	BUL	41.57
9699	Kolar-1	CS76974	BUL	41.37
9702	Kolar-2		BUL	41.38
9704	Melni-2	CS77080	BUL	41.53
9706	Dospa-1	CS76807	BUL	41.64
9712	Dolna-1-40	CS76805	BUL	42.32
9713	Stara-1	CS77271	BUL	42.49
9714	Grivo-1	CS76888	BUL	41.84
9716	Leska-1-44	CS77030	BUL	41.54
9718	Smolj-1	CS77256	BUL	41.55
9719	Koren-1	CS76983	BUL	41.83
9721	Schip-1	CS77239	BUL	42.72
9723	Slavi-2	CS77252	BUL	41.42
9725	Epidauros-1	CS76844	GRC	37.6
9726	Faneronemi-3	CS76853	GRC	37.07
9727	Olympia-2	CS77144	GRC	37.63
9728	Stiav-1	CS77279	SVK	48.46
9730	Bela-1	CS76696	SVK	48.47
9733	Bela-2	CS76697	SVK	48.47
9736	Teiu-2	CS77361	ROU	44.69
9737	Ulies-1	CS78815	ROU	45.95
9739	Toc-1	CS77370	ROU	46.01
9741	Orast-1	CS77151	ROU	45.84
9743	Furni-1	CS76873	ROU	45.14
9744	Iasi-1	CS76944	ROU	47.16
9745	Sij 1/96	CS77249	UZB	41.45
9746	Malii-1		SRB	43.71
9748	Zagub-1	CS78871	SRB	44.23
9749	Knjas-1	CS76971	SRB	43.54
9757	Staro-1	CS77272	SRB	44.3
9768	Ru4-16	CS77225	GER	48.57
9769	HE-1	CS76916	GER	48.55
9770	KBG2-13	CS76966	GER	48.53
9771	Pfn-N2.2-6	CS77172	GER	48.56
9772	Hof-1	CS76925	GER	48.41
9774	Alt-1	CS76663	GER	48.59
9775	Berg-1	CS76701	GER	48.41
9776	Fell3-7	CS76857	GER	48.43
9777	Gn-1	CS76880	GER	48.57
9778	Bach-7	CS76679	GER	48.41
9779	Bai-10	CS76682	GER	48.5
9780	Fell2-4	CS76856	GER	48.43
9781	Kus2-2	CS76990	GER	48.52
9782	Lu3-30	CS77057	GER	48.53
9783	Tu-PK-7	CS77396	GER	48.52
9784	Erg2-6	CS76845	GER	48.5
9785	Ha-HBT1-2	CS76898	GER	48.54
9786	Ha-P-13	CS76901	GER	48.54
9788	KBG1-14	CS76965	GER	48.53
9789	Obh-13	CS77140	GER	48.39
9790	Gn2-3	CS76881	GER	48.58
9791	Haes-1	CS76914	GER	48.6
9792	Lu4-2	CS77058	GER	48.54
9793	Ru-N2	CS77224	GER	48.57
9794	Tu-B1-2	CS77391	GER	48.52
9796	Bach2-1	CS76680	GER	48.41
9797	Ha-HBT2-10	CS76899	GER	48.54
9798	Ha-P2-1	CS76902	GER	48.54
9799	Hart-2	CS76913	GER	48.39
9800	Ha-S-B	CS76903	GER	48.54
9801	Ha-SP-2	CS76904	GER	48.54
9803	Muh-2	CS77113	GER	48.42
9804	Obe1-15	CS77139	GER	48.45
9805	Pfn-10	CS77171	GER	48.54
9806	Ru-2	CS77223	GER	48.56
9807	Schl-7	CS77240	GER	48.6
9808	Tu-B2-3	CS77392	GER	48.52
